# file created by code in security_q.jl
# file created on 2024-08-15 at 12:29:35
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: n_queues = 1
# parameter: mean_interarrival = 5.2
# parameter: mean_server_time = 5.0
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,in_service1
     136.887,    80,  Arrival,before,   1,   0,   1
     136.887,    80,  Arrival, after,   2,   1,   1
     138.934,    82,  Arrival,before,   1,   1,   1
     138.934,    82,  Arrival, after,   2,   2,   1
     139.536,    81,Finish(1),before,   1,   2,   1
     139.536,    81,Finish(1), after,   2,   1,   1
     142.024,    85,Finish(1),before,   1,   1,   1
     142.024,    85,Finish(1), after,   2,   0,   1
     143.446,    83,  Arrival,before,   1,   0,   1
     143.446,    83,  Arrival, after,   2,   1,   1
     145.133,    87,Finish(1),before,   1,   1,   1
     145.133,    87,Finish(1), after,   2,   0,   1
     145.566,    90,Finish(1),before,   1,   0,   1
     145.566,    90,Finish(1), after,   1,   0,   0
     147.120,    88,  Arrival,before,   0,   0,   0
     147.120,    88,  Arrival, after,   2,   0,   1
     149.613,    92,  Arrival,before,   1,   0,   1
     149.613,    92,  Arrival, after,   2,   1,   1
     152.621,    93,Finish(1),before,   1,   1,   1
     152.621,    93,Finish(1), after,   2,   0,   1
     154.052,    96,Finish(1),before,   1,   0,   1
     154.052,    96,Finish(1), after,   1,   0,   0
     171.359,    94,  Arrival,before,   0,   0,   0
     171.359,    94,  Arrival, after,   2,   0,   1
     171.835,    98,  Arrival,before,   1,   0,   1
     171.835,    98,  Arrival, after,   2,   1,   1
     186.191,    99,Finish(1),before,   1,   1,   1
     186.191,    99,Finish(1), after,   2,   0,   1
     188.395,   100,  Arrival,before,   1,   0,   1
     188.395,   100,  Arrival, after,   2,   1,   1
     192.471,   103,  Arrival,before,   1,   1,   1
     192.471,   103,  Arrival, after,   2,   2,   1
     197.204,   104,  Arrival,before,   1,   2,   1
     197.204,   104,  Arrival, after,   2,   3,   1
     202.709,   102,Finish(1),before,   1,   3,   1
     202.709,   102,Finish(1), after,   2,   2,   1
     205.649,   105,  Arrival,before,   1,   2,   1
     205.649,   105,  Arrival, after,   2,   3,   1
     206.666,   107,Finish(1),before,   1,   3,   1
     206.666,   107,Finish(1), after,   2,   2,   1
     208.782,   108,  Arrival,before,   1,   2,   1
     208.782,   108,  Arrival, after,   2,   3,   1
     209.252,   110,Finish(1),before,   1,   3,   1
     209.252,   110,Finish(1), after,   2,   2,   1
     209.345,   113,Finish(1),before,   1,   2,   1
     209.345,   113,Finish(1), after,   2,   1,   1
     219.247,   111,  Arrival,before,   1,   1,   1
     219.247,   111,  Arrival, after,   2,   2,   1
     222.232,   116,  Arrival,before,   1,   2,   1
     222.232,   116,  Arrival, after,   2,   3,   1
     228.622,   117,  Arrival,before,   1,   3,   1
     228.622,   117,  Arrival, after,   2,   4,   1
     229.029,   118,  Arrival,before,   1,   4,   1
     229.029,   118,  Arrival, after,   2,   5,   1
     229.555,   119,  Arrival,before,   1,   5,   1
     229.555,   119,  Arrival, after,   2,   6,   1
     233.478,   115,Finish(1),before,   1,   6,   1
     233.478,   115,Finish(1), after,   2,   5,   1
     234.262,   120,  Arrival,before,   1,   5,   1
     234.262,   120,  Arrival, after,   2,   6,   1
     237.566,   122,Finish(1),before,   1,   6,   1
     237.566,   122,Finish(1), after,   2,   5,   1
     238.375,   123,  Arrival,before,   1,   5,   1
     238.375,   123,  Arrival, after,   2,   6,   1
     239.837,   125,Finish(1),before,   1,   6,   1
     239.837,   125,Finish(1), after,   2,   5,   1
     243.360,   126,  Arrival,before,   1,   5,   1
     243.360,   126,  Arrival, after,   2,   6,   1
     246.891,   129,  Arrival,before,   1,   6,   1
     246.891,   129,  Arrival, after,   2,   7,   1
     247.680,   130,  Arrival,before,   1,   7,   1
     247.680,   130,  Arrival, after,   2,   8,   1
     249.206,   128,Finish(1),before,   1,   8,   1
     249.206,   128,Finish(1), after,   2,   7,   1
     250.746,   133,Finish(1),before,   1,   7,   1
     250.746,   133,Finish(1), after,   2,   6,   1
     256.884,   135,Finish(1),before,   1,   6,   1
     256.884,   135,Finish(1), after,   2,   5,   1
     258.241,   131,  Arrival,before,   1,   5,   1
     258.241,   131,  Arrival, after,   2,   6,   1
     260.702,   138,  Arrival,before,   1,   6,   1
     260.702,   138,  Arrival, after,   2,   7,   1
     269.867,   137,Finish(1),before,   1,   7,   1
     269.867,   137,Finish(1), after,   2,   6,   1
     274.285,   139,  Arrival,before,   1,   6,   1
     274.285,   139,  Arrival, after,   2,   7,   1
     277.016,   141,Finish(1),before,   1,   7,   1
     277.016,   141,Finish(1), after,   2,   6,   1
     282.878,   142,  Arrival,before,   1,   6,   1
     282.878,   142,  Arrival, after,   2,   7,   1
     284.106,   144,Finish(1),before,   1,   7,   1
     284.106,   144,Finish(1), after,   2,   6,   1
     288.306,   145,  Arrival,before,   1,   6,   1
     288.306,   145,  Arrival, after,   2,   7,   1
     290.752,   147,Finish(1),before,   1,   7,   1
     290.752,   147,Finish(1), after,   2,   6,   1
     290.963,   150,Finish(1),before,   1,   6,   1
     290.963,   150,Finish(1), after,   2,   5,   1
     295.009,   152,Finish(1),before,   1,   5,   1
     295.009,   152,Finish(1), after,   2,   4,   1
     297.573,   154,Finish(1),before,   1,   4,   1
     297.573,   154,Finish(1), after,   2,   3,   1
     299.783,   156,Finish(1),before,   1,   3,   1
     299.783,   156,Finish(1), after,   2,   2,   1
     300.191,   148,  Arrival,before,   1,   2,   1
     300.191,   148,  Arrival, after,   2,   3,   1
     301.168,   159,  Arrival,before,   1,   3,   1
     301.168,   159,  Arrival, after,   2,   4,   1
     302.233,   160,  Arrival,before,   1,   4,   1
     302.233,   160,  Arrival, after,   2,   5,   1
     304.322,   161,  Arrival,before,   1,   5,   1
     304.322,   161,  Arrival, after,   2,   6,   1
     304.441,   162,  Arrival,before,   1,   6,   1
     304.441,   162,  Arrival, after,   2,   7,   1
     306.958,   163,  Arrival,before,   1,   7,   1
     306.958,   163,  Arrival, after,   2,   8,   1
     307.877,   158,Finish(1),before,   1,   8,   1
     307.877,   158,Finish(1), after,   2,   7,   1
     308.416,   164,  Arrival,before,   1,   7,   1
     308.416,   164,  Arrival, after,   2,   8,   1
     322.283,   166,Finish(1),before,   1,   8,   1
     322.283,   166,Finish(1), after,   2,   7,   1
     323.062,   169,Finish(1),before,   1,   7,   1
     323.062,   169,Finish(1), after,   2,   6,   1
     336.415,   167,  Arrival,before,   1,   6,   1
     336.415,   167,  Arrival, after,   2,   7,   1
     337.618,   172,  Arrival,before,   1,   7,   1
     337.618,   172,  Arrival, after,   2,   8,   1
     338.035,   171,Finish(1),before,   1,   8,   1
     338.035,   171,Finish(1), after,   2,   7,   1
     339.388,   175,Finish(1),before,   1,   7,   1
     339.388,   175,Finish(1), after,   2,   6,   1
     340.526,   173,  Arrival,before,   1,   6,   1
     340.526,   173,  Arrival, after,   2,   7,   1
     345.268,   178,  Arrival,before,   1,   7,   1
     345.268,   178,  Arrival, after,   2,   8,   1
     347.884,   179,  Arrival,before,   1,   8,   1
     347.884,   179,  Arrival, after,   2,   9,   1
     348.387,   180,  Arrival,before,   1,   9,   1
     348.387,   180,  Arrival, after,   2,  10,   1
     349.329,   181,  Arrival,before,   1,  10,   1
     349.329,   181,  Arrival, after,   2,  11,   1
     349.617,   177,Finish(1),before,   1,  11,   1
     349.617,   177,Finish(1), after,   2,  10,   1
     350.907,   182,  Arrival,before,   1,  10,   1
     350.907,   182,  Arrival, after,   2,  11,   1
     353.553,   185,  Arrival,before,   1,  11,   1
     353.553,   185,  Arrival, after,   2,  12,   1
     358.663,   186,  Arrival,before,   1,  12,   1
     358.663,   186,  Arrival, after,   2,  13,   1
     361.713,   187,  Arrival,before,   1,  13,   1
     361.713,   187,  Arrival, after,   2,  14,   1
     368.122,   188,  Arrival,before,   1,  14,   1
     368.122,   188,  Arrival, after,   2,  15,   1
     376.071,   189,  Arrival,before,   1,  15,   1
     376.071,   189,  Arrival, after,   2,  16,   1
     378.571,   184,Finish(1),before,   1,  16,   1
     378.571,   184,Finish(1), after,   2,  15,   1
     379.750,   192,Finish(1),before,   1,  15,   1
     379.750,   192,Finish(1), after,   2,  14,   1
     380.187,   190,  Arrival,before,   1,  14,   1
     380.187,   190,  Arrival, after,   2,  15,   1
     381.254,   195,  Arrival,before,   1,  15,   1
     381.254,   195,  Arrival, after,   2,  16,   1
     383.213,   194,Finish(1),before,   1,  16,   1
     383.213,   194,Finish(1), after,   2,  15,   1
     385.421,   196,  Arrival,before,   1,  15,   1
     385.421,   196,  Arrival, after,   2,  16,   1
     388.404,   198,Finish(1),before,   1,  16,   1
     388.404,   198,Finish(1), after,   2,  15,   1
     392.225,   201,Finish(1),before,   1,  15,   1
     392.225,   201,Finish(1), after,   2,  14,   1
     395.167,   199,  Arrival,before,   1,  14,   1
     395.167,   199,  Arrival, after,   2,  15,   1
     395.915,   204,  Arrival,before,   1,  15,   1
     395.915,   204,  Arrival, after,   2,  16,   1
     396.307,   205,  Arrival,before,   1,  16,   1
     396.307,   205,  Arrival, after,   2,  17,   1
     403.468,   203,Finish(1),before,   1,  17,   1
     403.468,   203,Finish(1), after,   2,  16,   1
     407.736,   208,Finish(1),before,   1,  16,   1
     407.736,   208,Finish(1), after,   2,  15,   1
     408.215,   206,  Arrival,before,   1,  15,   1
     408.215,   206,  Arrival, after,   2,  16,   1
     411.215,   211,  Arrival,before,   1,  16,   1
     411.215,   211,  Arrival, after,   2,  17,   1
