# file created by code in security_q.jl
# file created on 2024-08-15 at 12:29:35
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: n_queues = 1
# parameter: mean_interarrival = 5.2
# parameter: mean_server_time = 5.0
# parameter: time_units = minutes
id,arrival_time,server,start_service_time,completion_time
1,0.0,1,0.0,0.9328489342723347
2,3.509948557290044,1,3.509948557290044,8.98925284395514
3,9.19020535857604,1,9.19020535857604,11.366021859120377
4,25.96270541981316,1,25.96270541981316,31.85245496521221
5,40.630417701720766,1,40.630417701720766,42.40710130046345
6,40.7615178117152,1,42.40710130046345,44.138899487584965
7,42.73046001224506,1,44.138899487584965,45.956609538016586
8,53.851397118233635,1,53.851397118233635,58.53770747661387
9,53.93190940738167,1,58.53770747661387,60.20511490079271
10,57.5317479553737,1,60.20511490079271,62.62317712210845
11,62.484511295223044,1,62.62317712210845,69.48329272583956
12,65.75668587575403,1,69.48329272583956,71.67633156947862
13,70.13180720220052,1,71.67633156947862,74.27351832850877
14,74.53278023994176,1,74.53278023994176,75.47803653189362
15,82.6226703049937,1,82.6226703049937,86.90630200967034
16,85.14584907523036,1,86.90630200967034,89.95161406336204
17,87.01118148953014,1,89.95161406336204,96.74709466532897
18,89.37475382888424,1,96.74709466532897,97.64893094814734
19,89.79529358095435,1,97.64893094814734,101.74187731756179
20,100.14363800199408,1,101.74187731756179,102.18698326385353
21,109.93245557023828,1,109.93245557023828,114.24209469109493
22,109.93714387234232,1,114.24209469109493,116.06149730665753
23,114.04587776968421,1,116.06149730665753,123.15472652292064
24,114.76869858769263,1,123.15472652292064,123.3167068795599
25,115.37200180507222,1,123.3167068795599,124.50753983781358
26,117.29749163177448,1,124.50753983781358,125.93591022387004
27,135.5579673832873,1,135.5579673832873,139.53564970415584
28,136.88674972082276,1,139.53564970415584,142.02386348300482
29,138.93378582108707,1,142.02386348300482,145.13342759510462
30,143.445926179473,1,145.13342759510462,145.56648231823337
31,147.1196166984961,1,147.1196166984961,152.6209631437809
32,149.61271394239992,1,152.6209631437809,154.05246946918308
33,171.35918419586983,1,171.35918419586983,186.19148068938242
34,171.83463670300318,1,186.19148068938242,202.7091818172051
35,188.39452146998224,1,202.7091818172051,206.66625898884243
36,192.47106626729263,1,206.66625898884243,209.25230638465456
37,197.20413536441626,1,209.25230638465456,209.34519533795364
38,205.64917544936372,1,209.34519533795364,233.47803672262793
39,208.78190357949416,1,233.47803672262793,237.5661903009106
40,219.24703126188948,1,237.5661903009106,239.8370532598554
41,222.23231065160513,1,239.8370532598554,249.20568700497225
42,228.62200592635625,1,249.20568700497225,250.74620929952505
43,229.0290444481777,1,250.74620929952505,256.8843464227836
44,229.55526058814053,1,256.8843464227836,269.86733787403773
45,234.2620722096441,1,269.86733787403773,277.0164611822331
46,238.3746739541786,1,277.0164611822331,284.1062855344719
47,243.35962561359383,1,284.1062855344719,290.75168590167675
48,246.89060937072443,1,290.75168590167675,290.96268891077534
49,247.6797414139255,1,290.96268891077534,295.0088283301987
50,258.2414934932451,1,295.0088283301987,297.57297303636636
51,260.7016335482401,1,297.57297303636636,299.7825146748461
52,274.28489049151165,1,299.7825146748461,307.8766165108841
53,282.877828001381,1,307.8766165108841,322.282623411199
54,288.3061596636204,1,322.282623411199,323.0619263347433
55,300.19147892684106,1,323.0619263347433,338.03496423873014
56,301.1678512871414,1,338.03496423873014,339.3878253211962
