# file created by code in factory_simulation_2.jl
# file created on 2024-10-10 at 12:37:59
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,25.0,36.00761742441355
2,40.49940643026974,40.49940643026974,65.49940643026974,130.15519701291788
3,106.04083106049279,106.04083106049279,131.0408310604928,156.71546576691594
4,299.5696779209211,299.5696779209211,324.5696779209211,394.06872255662984
5,468.8125119429319,468.8125119429319,493.8125119429319,514.2477305509657
6,470.32520551979076,493.8125119429319,518.8125119429319,540.2614905380251
7,491.64540870470296,518.8125119429319,543.8125119429319,544.7260167621115
8,514.3639725569706,543.8125119429319,568.8125119429319,624.1109741718186
9,642.6824776260695,642.6824776260695,667.6824776260695,723.8772924435909
10,684.2190762567468,684.2190762567468,723.8772924435909,761.0038886457695
11,704.2279653468929,709.2190762567468,761.0038886457695,810.6446883112201
12,733.2447120026818,734.2190762567468,810.6446883112201,836.522546666161
13,815.5660992474552,815.5660992474552,840.5660992474552,871.212903004011
14,866.3465573752387,866.3465573752387,891.3465573752387,902.5005816202706
15,959.6914427412228,959.6914427412228,984.6914427412228,1035.238296856407
16,988.8050439362611,988.8050439362611,1035.238296856407,1062.0557522452323
17,1010.3281102551048,1013.8050439362611,1062.0557522452323,1142.2424233484421
18,1046.8718548994052,1046.8718548994052,1142.2424233484421,1152.8840914856987
19,1051.7242366540604,1071.8718548994052,1152.8840914856987,1201.1808586447892
20,1171.1282107429802,1171.1282107429802,1201.1808586447892,1206.4331088110318
21,1284.0761057611824,1284.0761057611824,1309.0761057611824,1355.6944326733308
22,1284.1302015546905,1309.0761057611824,1355.6944326733308,1362.539603793599
23,1335.8458710049704,1335.8458710049704,1362.539603793599,1384.386507596567
24,1344.1861112127597,1360.8458710049704,1385.8458710049704,1593.0320381855963
25,1366.0189425995109,1385.8458710049704,1593.0320381855963,1622.3929607760142
26,1451.1376931946681,1451.1376931946681,1622.3929607760142,1659.0858172987919
27,1453.0814574743395,1476.1376931946681,1659.0858172987919,1664.1958630317113
28,1467.3714529733836,1501.1376931946681,1664.1958630317113,1692.4829279144665
29,1484.511897606061,1526.1376931946681,1692.4829279144665,1939.2217250211443
30,1499.844001500701,1593.0320381855963,1939.2217250211443,2134.130598329452
31,1547.576189351124,1622.3929607760142,2134.130598329452,2187.832728469893
32,1571.195836661866,1659.0858172987919,2187.832728469893,2234.5262390952134
33,1623.258994643242,1684.0858172987919,2234.5262390952134,2270.0706544178474
34,1665.6477314012009,1709.0858172987919,2270.0706544178474,2388.809603121948
35,1731.6638887446186,1939.2217250211443,2388.809603121948,2422.681042351414
36,1748.8419646494447,2134.130598329452,2422.681042351414,2495.1795079687827
37,1754.3279551163678,2187.832728469893,2495.1795079687827,2499.79782965868
38,1932.315513038519,2234.5262390952134,2499.79782965868,2505.768358939027
39,2123.391106503662,2270.0706544178474,2505.768358939027,2559.1725677214713
40,2170.428161857243,2388.809603121948,2559.1725677214713,2607.4127799452067
41,2267.8709320681755,2422.681042351414,2607.4127799452067,2634.2089628607555
42,2298.903500817921,2495.1795079687827,2634.2089628607555,2690.7689913041204
