# file created by code in security_q.jl
# file created on 2024-08-15 at 12:29:22
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: n_queues = 2
# parameter: mean_interarrival = 5.2
# parameter: mean_server_time = 10.0
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,in_service1,length_queue2,in_service2
     106.723,    61,  Arrival, after,   3,   3,   1,   2,   1
     106.802,    63,Finish(1),before,   2,   3,   1,   2,   1
     106.802,    63,Finish(1), after,   3,   2,   1,   2,   1
     106.936,    60,Finish(2),before,   2,   2,   1,   2,   1
     106.936,    60,Finish(2), after,   3,   2,   1,   1,   1
     107.962,    66,Finish(1),before,   2,   2,   1,   1,   1
     107.962,    66,Finish(1), after,   3,   1,   1,   1,   1
     108.615,    64,  Arrival,before,   2,   1,   1,   1,   1
     108.615,    64,  Arrival, after,   3,   2,   1,   1,   1
     110.639,    68,Finish(2),before,   2,   2,   1,   1,   1
     110.639,    68,Finish(2), after,   3,   2,   1,   0,   1
     110.963,    73,Finish(2),before,   2,   2,   1,   0,   1
     110.963,    73,Finish(2), after,   2,   2,   1,   0,   0
     122.149,    70,Finish(1),before,   1,   2,   1,   0,   0
     122.149,    70,Finish(1), after,   2,   1,   1,   0,   0
     124.531,    76,Finish(1),before,   1,   1,   1,   0,   0
     124.531,    76,Finish(1), after,   2,   0,   1,   0,   0
     126.876,    71,  Arrival,before,   1,   0,   1,   0,   0
     126.876,    71,  Arrival, after,   3,   0,   1,   0,   1
     127.387,    78,Finish(1),before,   2,   0,   1,   0,   1
     127.387,    78,Finish(1), after,   2,   0,   0,   0,   1
     128.205,    79,  Arrival,before,   1,   0,   0,   0,   1
     128.205,    79,  Arrival, after,   3,   0,   1,   0,   1
     130.252,    82,  Arrival,before,   2,   0,   1,   0,   1
     130.252,    82,  Arrival, after,   3,   1,   1,   0,   1
     132.839,    84,  Arrival,before,   2,   1,   1,   0,   1
     132.839,    84,  Arrival, after,   3,   1,   1,   1,   1
     134.831,    80,Finish(2),before,   2,   1,   1,   1,   1
     134.831,    80,Finish(2), after,   3,   1,   1,   0,   1
     136.073,    85,  Arrival,before,   2,   1,   1,   0,   1
     136.073,    85,  Arrival, after,   3,   1,   1,   1,   1
     136.524,    88,  Arrival,before,   2,   1,   1,   1,   1
     136.524,    88,  Arrival, after,   3,   2,   1,   1,   1
     136.882,    83,Finish(1),before,   2,   2,   1,   1,   1
     136.882,    83,Finish(1), after,   3,   1,   1,   1,   1
     139.017,    89,  Arrival,before,   2,   1,   1,   1,   1
     139.017,    89,  Arrival, after,   3,   2,   1,   1,   1
     141.896,    87,Finish(2),before,   2,   2,   1,   1,   1
     141.896,    87,Finish(2), after,   3,   2,   1,   0,   1
     144.759,    94,Finish(2),before,   2,   2,   1,   0,   1
     144.759,    94,Finish(2), after,   2,   2,   1,   0,   0
     147.885,    91,Finish(1),before,   1,   2,   1,   0,   0
     147.885,    91,Finish(1), after,   2,   1,   1,   0,   0
     148.799,    97,Finish(1),before,   1,   1,   1,   0,   0
     148.799,    97,Finish(1), after,   2,   0,   1,   0,   0
     160.763,    92,  Arrival,before,   1,   0,   1,   0,   0
     160.763,    92,  Arrival, after,   3,   0,   1,   0,   1
     177.323,   100,  Arrival,before,   2,   0,   1,   0,   1
     177.323,   100,  Arrival, after,   3,   1,   1,   0,   1
     178.464,    99,Finish(1),before,   2,   1,   1,   0,   1
     178.464,    99,Finish(1), after,   3,   0,   1,   0,   1
     181.400,   102,  Arrival,before,   2,   0,   1,   0,   1
     181.400,   102,  Arrival, after,   3,   1,   1,   0,   1
     187.566,   104,Finish(1),before,   2,   1,   1,   0,   1
     187.566,   104,Finish(1), after,   3,   0,   1,   0,   1
     189.845,   105,  Arrival,before,   2,   0,   1,   0,   1
     189.845,   105,  Arrival, after,   3,   1,   1,   0,   1
     192.978,   108,  Arrival,before,   2,   1,   1,   0,   1
     192.978,   108,  Arrival, after,   3,   1,   1,   1,   1
     193.799,   101,Finish(2),before,   2,   1,   1,   1,   1
     193.799,   101,Finish(2), after,   3,   1,   1,   0,   1
     195.480,   107,Finish(1),before,   2,   1,   1,   0,   1
     195.480,   107,Finish(1), after,   3,   0,   1,   0,   1
     195.666,   113,Finish(1),before,   2,   0,   1,   0,   1
     195.666,   113,Finish(1), after,   2,   0,   0,   0,   1
     195.667,   109,  Arrival,before,   1,   0,   0,   0,   1
     195.667,   109,  Arrival, after,   3,   0,   1,   0,   1
     201.408,   116,Finish(1),before,   2,   0,   1,   0,   1
     201.408,   116,Finish(1), after,   2,   0,   0,   0,   1
     213.924,   111,Finish(2),before,   1,   0,   0,   0,   1
     213.924,   111,Finish(2), after,   1,   0,   0,   0,   0
     220.765,   115,  Arrival,before,   0,   0,   0,   0,   0
     220.765,   115,  Arrival, after,   2,   0,   1,   0,   0
     221.548,   120,Finish(1),before,   1,   0,   1,   0,   0
     221.548,   120,Finish(1), after,   1,   0,   0,   0,   0
     227.155,   119,  Arrival,before,   0,   0,   0,   0,   0
     227.155,   119,  Arrival, after,   2,   0,   1,   0,   0
     227.681,   122,  Arrival,before,   1,   0,   1,   0,   0
     227.681,   122,  Arrival, after,   3,   0,   1,   0,   1
     231.933,   124,  Arrival,before,   2,   0,   1,   0,   1
     231.933,   124,  Arrival, after,   3,   1,   1,   0,   1
     234.295,   126,  Arrival,before,   2,   1,   1,   0,   1
     234.295,   126,  Arrival, after,   3,   1,   1,   1,   1
     235.590,   125,Finish(2),before,   2,   1,   1,   1,   1
     235.590,   125,Finish(2), after,   3,   1,   1,   0,   1
     236.206,   123,Finish(1),before,   2,   1,   1,   0,   1
     236.206,   123,Finish(1), after,   3,   0,   1,   0,   1
     239.279,   127,  Arrival,before,   2,   0,   1,   0,   1
     239.279,   127,  Arrival, after,   3,   1,   1,   0,   1
     240.069,   132,  Arrival,before,   2,   1,   1,   0,   1
     240.069,   132,  Arrival, after,   3,   1,   1,   1,   1
     242.997,   131,Finish(1),before,   2,   1,   1,   1,   1
     242.997,   131,Finish(1), after,   3,   0,   1,   1,   1
     246.078,   135,Finish(1),before,   2,   0,   1,   1,   1
     246.078,   135,Finish(1), after,   2,   0,   0,   1,   1
     250.630,   133,  Arrival,before,   1,   0,   0,   1,   1
     250.630,   133,  Arrival, after,   3,   0,   1,   1,   1
     254.327,   129,Finish(2),before,   2,   0,   1,   1,   1
     254.327,   129,Finish(2), after,   3,   0,   1,   0,   1
     257.014,   137,  Arrival,before,   2,   0,   1,   0,   1
     257.014,   137,  Arrival, after,   3,   1,   1,   0,   1
     259.058,   140,Finish(2),before,   2,   1,   1,   0,   1
     259.058,   140,Finish(2), after,   2,   1,   1,   0,   0
     270.597,   141,  Arrival,before,   1,   1,   1,   0,   0
     270.597,   141,  Arrival, after,   3,   1,   1,   0,   1
     276.596,   138,Finish(1),before,   2,   1,   1,   0,   1
     276.596,   138,Finish(1), after,   3,   0,   1,   0,   1
     278.032,   143,  Arrival,before,   2,   0,   1,   0,   1
     278.032,   143,  Arrival, after,   3,   1,   1,   0,   1
     283.461,   147,  Arrival,before,   2,   1,   1,   0,   1
