# file created by code in security_q.jl
# file created on 2024-08-15 at 12:29:22
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: n_queues = 2
# parameter: mean_interarrival = 5.2
# parameter: mean_server_time = 10.0
# parameter: time_units = minutes
id,arrival_time,server,start_service_time,completion_time
1,0.0,1,0.0,1.8656978685446695
3,9.19020535857604,2,9.19020535857604,13.54183835966471
2,3.509948557290044,1,3.509948557290044,14.468557130620233
4,25.96270541981316,1,25.96270541981316,37.74220451061126
5,40.630417701720766,1,40.630417701720766,44.18378489920613
6,40.7615178117152,2,40.7615178117152,44.22511418595822
7,42.73046001224506,1,44.18378489920613,47.81920500006938
8,53.851397118233635,1,53.851397118233635,63.2240178349941
9,53.93190940738167,2,53.93190940738167,63.456454291707324
11,59.2658516765197,2,63.456454291707324,71.87014915025827
10,57.5317479553737,1,63.2240178349941,76.94424904245633
12,61.78063638668807,1,76.94424904245633,85.51151245180961
13,65.05281096721906,2,71.87014915025827,87.42763004458894
15,71.73454440234492,2,87.42763004458894,89.23130261022567
16,74.43561863173628,2,89.23130261022567,97.41719534905457
19,79.80719635990265,2,97.41719534905457,98.30740724163806
21,85.33789323509612,2,98.30740724163806,98.31642320722277
14,67.33357136460369,1,85.51151245180961,105.41217479996291
17,75.4186851753662,1,105.41217479996291,106.80221483459448
23,92.82573281321184,2,98.31642320722277,106.93570144893609
18,77.94186394560286,1,106.80221483459448,107.96241332955523
24,102.61455038145604,2,106.93570144893609,110.63856650028657
25,106.72328427879793,2,110.63856650028657,110.96252721356511
20,82.97432089574203,1,107.96241332955523,122.14887176208146
22,85.75843298716623,1,122.14887176208146,124.53053767858881
26,108.61546299898303,1,124.53053767858881,127.38727845070171
27,126.87593875049583,2,126.87593875049583,134.83130339223297
28,128.2047210880313,1,128.2047210880313,136.8819140849273
30,132.83949951829854,2,134.83130339223297,141.89609285189277
31,136.07344619488234,2,141.89609285189277,144.7591055026971
29,130.2517571882956,1,136.8819140849273,147.88460697549692
32,136.52382310693625,1,147.88460697549692,148.7989387199841
33,139.0169203508401,1,148.7989387199841,178.46353170700928
35,177.32327537128907,1,178.46353170700928,187.5655876630163
34,160.76339060431002,2,160.76339060431002,193.79879285995537
36,181.39982016859946,1,187.5655876630163,195.47974200629093
37,189.84486025354693,1,195.47974200629093,195.6655199128891
39,195.66707767532196,1,195.66707767532196,201.4079995786213
38,192.97758838367736,2,193.79879285995537,213.92403840302327
40,220.7652327153832,1,220.7652327153832,221.54799910350135
42,227.68114413009715,2,227.68114413009715,235.5899936388174
41,227.15492799013433,1,227.15492799013433,236.20648880071812
43,231.9328238515111,1,236.20648880071812,242.9968421798154
45,239.27947298822895,1,242.9968421798154,246.077886768921
44,234.29452132881372,2,235.5899936388174,254.32726112905112
46,240.06860503143002,2,254.32726112905112,259.05829969634925
47,250.63035711074963,1,250.63035711074963,276.5963400132579
49,270.59727666221005,2,270.59727666221005,287.12215648888184
48,257.0140197189385,1,276.5963400132579,290.7759887177354
50,278.03236490273326,1,290.7759887177354,295.90427813007074
51,283.4606965649727,2,287.12215648888184,309.9785396873831
53,290.5913560763283,1,295.90427813007074,312.0924818021467
