# seed = 17
# n_valets = 3
# service_time = 5
entity_ID,arrival_time,service_time,departure_time
1,0.0,0.0,5.0
2,3.689505632481279,3.689505632481279,8.689505632481278
3,5.864601735286557,5.864601735286557,10.864601735286557
4,6.148091792659592,6.148091792659592,11.148091792659592
5,8.911497114032336,8.911497114032336,13.911497114032336
6,8.925217090614135,10.864601735286557,15.864601735286557
7,10.34913289295222,11.148091792659592,16.148091792659592
8,12.486823936343265,13.911497114032336,18.911497114032336
9,15.95756931130034,15.95756931130034,20.95756931130034
10,17.164765399367923,17.164765399367923,22.164765399367923
11,22.499029516396995,22.499029516396995,27.499029516396995
12,25.015275353696154,25.015275353696154,30.015275353696154
13,26.1229334621153,26.1229334621153,31.1229334621153
14,29.843735691038784,29.843735691038784,34.84373569103879
15,30.66377722789331,30.66377722789331,35.663777227893306
16,31.51536380717087,31.51536380717087,36.51536380717087
17,32.58613915369004,34.84373569103879,39.84373569103879
18,33.63608527263029,35.663777227893306,40.663777227893306
19,33.683282042922826,36.51536380717087,41.51536380717087
20,33.87561118578699,39.84373569103879,44.84373569103879
21,34.1924377499612,40.663777227893306,45.663777227893306
22,35.34344467595105,41.51536380717087,46.51536380717087
23,37.39111515123101,44.84373569103879,49.84373569103879
24,37.788321059308494,45.663777227893306,50.663777227893306
25,40.227117961311315,46.51536380717087,51.51536380717087
26,51.39561172501153,51.39561172501153,56.39561172501153
27,51.63230630438297,51.63230630438297,56.63230630438297
28,51.81637662129322,51.81637662129322,56.81637662129322
29,52.989795847509924,56.39561172501153,61.39561172501153
30,56.44174043437927,56.63230630438297,61.63230630438297
31,58.26345828666059,58.26345828666059,63.26345828666059
32,60.95168361506872,61.39561172501153,66.39561172501152
33,61.4006077134203,61.63230630438297,66.63230630438298
34,62.740953567899524,63.26345828666059,68.26345828666058
35,64.63816431645185,66.39561172501152,71.39561172501152
36,64.89988624385562,66.63230630438298,71.63230630438298
37,69.12277948127567,69.12277948127567,74.12277948127567
38,69.74431323190228,71.39561172501152,76.39561172501152
39,74.76162927594959,74.76162927594959,79.76162927594959
40,79.03964033684893,79.03964033684893,84.03964033684893
41,80.54476531393513,80.54476531393513,85.54476531393513
42,81.5680135718786,81.5680135718786,86.5680135718786
43,82.715133745654,84.03964033684893,89.03964033684893
44,83.39997802772592,85.54476531393513,90.54476531393513
45,83.76639934158649,86.5680135718786,91.5680135718786
46,83.77415908698448,89.03964033684893,94.03964033684893
47,83.8189299020735,90.54476531393513,95.54476531393513
48,83.95422673622863,91.5680135718786,96.5680135718786
49,85.67589315548976,94.03964033684893,99.03964033684893
50,87.04655684767859,95.54476531393513,100.54476531393513
51,87.2591090532989,96.5680135718786,101.5680135718786
52,90.15882853000046,99.03964033684893,104.03964033684893
53,91.84465402963484,100.54476531393513,105.54476531393513
54,95.82619809303306,101.5680135718786,106.5680135718786
55,97.22893212134964,104.03964033684893,109.03964033684893
56,98.16850793976919,105.54476531393513,110.54476531393513
57,100.46736122310841,106.5680135718786,111.5680135718786
58,101.05430636082087,109.03964033684893,114.03964033684893
59,101.76237753402796,110.54476531393513,115.54476531393513
60,108.96288218925227,111.5680135718786,116.5680135718786
61,110.35717250091074,114.03964033684893,119.03964033684893
62,110.89103190100278,115.54476531393513,120.54476531393513
63,115.3284303622687,116.5680135718786,121.5680135718786
64,115.9042962924002,119.03964033684893,124.03964033684893
65,118.34290365521882,120.54476531393513,125.54476531393513
66,119.07309306597827,121.5680135718786,126.5680135718786
67,119.59478333065802,124.03964033684893,129.03964033684895
68,120.34025271935434,125.54476531393513,130.54476531393513
69,121.01961518421633,126.5680135718786,131.5680135718786
70,123.67373054526144,129.03964033684895,134.03964033684895
71,125.61524153651783,130.54476531393513,135.54476531393513
72,126.20109971839226,131.5680135718786,136.5680135718786
