# seed = 17
# n_valets = 3
# service_time = 5
time,event,n_customers
720.0898435898853,Arrival,3
721.4194826749343,Arrival,3
721.9251376479004,Arrival,4
722.9406911553922,Arrival,5
724.5953360769125,Arrival,5
724.6116090084013,Arrival,6
727.6057311680242,Arrival,5
728.863106693062,Arrival,5
731.7552874085061,Arrival,4
732.1423948741997,Arrival,5
732.4109488358653,Arrival,6
735.3120552301135,Arrival,5
738.0418964402094,Arrival,4
740.8082471033716,Arrival,4
741.3094961939408,Arrival,5
742.8500753482008,Arrival,5
743.0482425457085,Arrival,5
747.3646110321889,Arrival,4
747.3879971467383,Arrival,5
751.1734460574479,Arrival,4
753.0635591929812,Arrival,3
754.3523677428823,Arrival,4
755.6611991650694,Arrival,4
756.1608459073861,Arrival,5
758.9427264684839,Arrival,4
759.6675255458106,Arrival,5
760.5599296977892,Arrival,5
764.6906705452074,Arrival,4
765.6790541959866,Arrival,4
766.4999167630261,Arrival,4
767.2804484750203,Arrival,5
768.7518686428549,Arrival,5
771.9314333271685,Arrival,4
774.0191115004039,Arrival,4
775.4779052481558,Arrival,4
780.0848207805028,Arrival,3
783.2040481515019,Arrival,2
785.650549167106,Arrival,2
790.4800754416729,Arrival,2
791.4126125873215,Arrival,2
791.6761757479252,Arrival,3
792.4173880594038,Arrival,4
793.1173496651508,Arrival,5
795.7150436584078,Arrival,5
797.5825537039224,Arrival,4
797.7635831941222,Arrival,5
800.3429538925799,Arrival,6
800.377733490094,Arrival,7
801.9616974350644,Arrival,5
803.0164075945838,Arrival,6
804.8932236963525,Arrival,7
805.3344006854346,Arrival,8
805.922610746794,Arrival,8
806.5874563795215,Arrival,8
807.0114260473002,Arrival,8
807.7093636950714,Arrival,9
811.4315804326709,Arrival,8
812.0495562981403,Arrival,8
819.3737640910851,Arrival,6
819.4583162998051,Arrival,7
822.0972539680296,Arrival,5
824.0294804159191,Arrival,6
826.4633450490495,Arrival,5
828.3185251063707,Arrival,5
830.1978650375698,Arrival,6
831.8701060279027,Arrival,4
835.5992718472282,Arrival,4
835.9905867846626,Arrival,5
838.4181402324441,Arrival,4
839.1219037860828,Arrival,5
840.1337797819051,Arrival,6
840.9703477621191,Arrival,6
842.2666052860764,Arrival,5
842.8608662634484,Arrival,6
843.8529039748985,Arrival,7
844.4883313413261,Arrival,8
851.4754724544963,Arrival,4
855.1910787997084,Arrival,4
855.7650505668577,Arrival,4
856.4470883885871,Arrival,4
858.0070648272606,Arrival,4
861.3473975354887,Arrival,4
864.7180423106132,Arrival,3
870.4249448456962,Arrival,1
875.8657013871012,Arrival,1
876.5977049491152,Arrival,2
880.6460756887105,Arrival,3
880.8348290006376,Arrival,4
881.0496049315866,Arrival,4
882.0611384880709,Arrival,4
882.4869774580197,Arrival,5
883.1098930998828,Arrival,6
883.5626862440428,Arrival,7
884.9225138611633,Arrival,8
885.4405120344672,Arrival,9
890.3389107382925,Arrival,7
891.3715111261424,Arrival,6
891.5696036169285,Arrival,7
895.6642557507388,Arrival,6
897.5576760928273,Arrival,5
905.1483844669012,Arrival,3
905.7967950665499,Arrival,3
910.5961158157914,Arrival,2
912.8747719830429,Arrival,2
914.2626788720843,Arrival,3
916.0828892326648,Arrival,3
917.070180241037,Arrival,4
925.2904266310392,Arrival,1
933.1969637092049,Arrival,1
933.2732021520259,Arrival,2
933.570683136094,Arrival,3
938.1123101070377,Arrival,4
939.7093574917037,Arrival,2
940.2885895337373,Arrival,3
940.6507827611058,Arrival,4
940.9682473573971,Arrival,5
943.5822049788153,Arrival,5
944.0140861522416,Arrival,6
944.9614283350138,Arrival,6
946.0435466764418,Arrival,6
947.6881915570557,Arrival,7
948.2994713888568,Arrival,7
951.1019456148209,Arrival,6
953.3475840581777,Arrival,6
953.90095399439,Arrival,7
956.6345230931379,Arrival,6
962.8526400158187,Arrival,4
962.9011047426734,Arrival,5
964.1267325120272,Arrival,5
966.7010038015356,Arrival,4
971.2838541237544,Arrival,2
972.6153723724112,Arrival,3
973.2922057140684,Arrival,3
978.7004294846877,Arrival,1
980.6179629211586,Arrival,2
985.1479906600488,Arrival,2
988.5781464994465,Arrival,2
988.6073177633042,Arrival,3
989.5459980441377,Arrival,4
992.4900438513555,Arrival,4
995.4250720397807,Arrival,2
997.4646790165581,Arrival,3
1000.3412767489435,Arrival,3
